,video_id,comments
0,wHOR0w2pl4M,"[""I'm a semi finalist from but i didn't receive any date selection email and i haven't selected any date yet. AFAIK there are 2 slots left for semi final but i don't see the option to select a date and take the semi final. What should I do?"", 'I checked all your channel, but other than you pomised , where is the solution video?', 'Woooww!!I love this competition!!â¤ï¸', 'Help me getting to cso', ""I'll Win this olympiad! Hi from Brazil ğŸ‡§ğŸ‡·"", 'It was great participating a few years ago!', 'Excellent video! Thank you so much for having me for the voiceover. Wishing the absolute best to all participants and excited to see the solutions!', 'So proud of the entire team for rolling this out year after year. Really great!', 'so exciting!', ""Cannot wait to see this year's climate solutions again!!!""]"
1,lq_ForYjl8k,"['WowğŸ¢ğŸ£', 'I liked when they said ""be selfish"" jajajağŸ˜']"
2,42eKmxAjIPA,"['wow\nich hab schon Zertifikat von Climate Science bekommen ğŸ˜ŠğŸ˜Šâ¤ğŸ™', 'WowğŸºğŸ»']"
3,rCzGbc_7hUU,"['For the big picture, search:\nMarcott reconstruction model', ""Sadly climate change deniers are psychopaths, and you're probably not going to change their tiny minds."", 'Calling out a climate deniers fallacies will not change their mind. It will probably solidify them into their denialism. Some say a better strategy is to tell stories about humans, but I dont know if this works any better. Most people believe in man-made climate change anyway, so dont worry about the few deniers out there. Worry about the climate denying-politicians who have actual power', 'Is she brazilian?', 'If we cannot and do not explain the physical science and quantum mechanics of such things as the â€˜greenhouse effectâ€™ so that the layperson can understand, then we do a disservice to them and to ourselves. For example, when photons of visible light strikes the surface of the Earth they cause the molecules of the surface struck to vibrate faster, increasing its temperature. This energy is then re-radiated by the Earth as longer wave photons, infrared radiation (heat). These photons only interact with greenhouse gas molecules in the atmosphere which slows down their escape back into space, thus causing the atmosphere to retain more infrared photonic energy that we call heat.', 'Hmm ask Climatologist expert Dr John Christy what he thinks about climate change', 'â¤â¤', ""it's good absolutely rightğŸğŸ‘ğŸ’ğŸ“ğŸ…"", 'Whoa! ğŸ˜¯', ""Yeah, these tips would help me definitely as many of them in my place aren't aware of climate change  ğŸ™„""]"
4,Xp5p5ATmKi4,"['â¤â¤', 'it just nonsense are wrong to say/thinkğŸ«ğŸ¬ğŸ­ğŸ®ğŸ¯', 'It is better to live on earth than to hang in the air. It is made for us, due to which the nature of our earth remains balanced.But some people do not like the nature given by God, it will spoil the environment of our earth.', 'No because of sea waters rise the houses will be damaged worse than in cities']"
5,36hohyrQrP8,"['â¤â¤', 'Plant needs co2 so it not the problem we need to reduce the CO', ""it's happen and can feel right now all over the world /earth of courseğŸ¥™ğŸ¥šğŸ³ğŸ¥˜ğŸ²"", 'LMAO...ğŸ”Eat meat and be happy!ğŸ’ªğŸ˜', 'All scope for jobs related to carbon.. pls have a video on it', 'Chances of carbon sequestration in coal mines (abondoned)']"
6,HihpqcqCkoI,"['I absolutely love love your smooth voice and beautifulness. Marry me?', 'I searched how many fish are there in 2050 and Google responded in 2050 there are fishless oceans so yeah people that over fishing is a dumbass shit', 'Fish farming is 12 times less CO2 pollutive then beef farm. Subsidizing and promoting fish farming as green solution is good', 'â¤â¤', 'ğŸŸğŸ ğŸ·ğŸ–ğŸ½', 'Because I am eating them.....ğŸ¤¤ğŸ¤¤', 'Mam   I am from india and I have some solution regarding climet change \n\nI am propose that in climet science Olympiad \n\nğŸ¤—ğŸ¤—']"
7,xHuMQkJS1uw,"['W rizz', 'Ozone needs sunlight. There is no sunlight in the poles in winter.', 'Nice information about ozone layer depletion', 'Not 43 almost every country did', 'Come back from Ozone Layer', 'Iâ€™m surprised', 'And good news', ""We've finished smallpox and the ozone, and now we need to act to the climate"", '43 countries did not sign. 197 did.', 'ğŸŒ']"
8,TCVg8PkGeKI,"['Right now, I am needing TOILET justice as someone has weed all over the seat.', 'IndiağŸ‡®ğŸ‡³ğŸ‡®ğŸ‡³ğŸ‡®ğŸ‡³', 'Unjustified unproven idiotic  drivel. These conditions have always existed . Stop with your propaganda', ""These videos are really underrated. I'm a frequent viewer.""]"
9,nwsQ858oHiU,['Please can you explain environment and environmental problem please ğŸ™']
10,vEgRtuet3cA,[]
11,d90Qujj5eUA,[]
12,k4HujPqpH2o,[]
13,iwe6WL-IvtQ,[]
14,eSAar0cCaTA,"[""Hi everyone. How I register it. I tried to register but can't"", 'Eagerly waiting ğŸ‘€ğŸ’“:)', 'Sir if this competition is only for UN students', 'being an indian i will  definitely participate to encourage others tooo\nwooohoooooooooooooooo', 'I am 13 years old and i feel like i really have the passion to take a part,\nbut I just have a question.\nWhere can I find the quizzez link?', 'â¤ï¸â¤ï¸â¤ï¸!', 'HypeğŸ¥³', 'CSO22 GOOO ğŸ•ºğŸ•ºğŸ•º', 'WOOOOOOOOOOOOOOOOOOOOOOOW!!!!', ""Olympiad 2022 Let's GOOOO!!\n\n~ Renee :))""]"
15,Gi0r9bbPRw0,[]
16,Y8Q7Ll3phLI,['My species is also extincted ğŸ˜­..........ğŸ˜†ğŸ˜†ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜†ğŸ˜†']
17,KnAkJTwHHT8,"['i like to see you more than hear you â¤â¤', 'â¤â¤â¤â¤']"
18,jSN-YTFhJoA,['But I am illiterate.....ğŸ˜........ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜†ğŸ˜†ğŸ˜†ğŸ˜†']
19,8uwnJPuRpfk,"['Tr The higher the temperature, the more the oceans will evaporate, then there will be more humidity and more precipitation, the desert will decrease plants regarding moisture and carbon dioxide will grow faster, the history of the earth is such that if global warming was antiquity, then it was a paradise for the biosphere,. .and when global cooling was then the evaporation of the oceans would decrease and precipitation would decrease, the desert would increase, this would collapse for the biosphere, the largest desert  Antarctica, the hottest place  the rainforests.']"
20,7BFOr9T4zUY,"['Awesome video keep posting\nğŸ’–', 'Love from india', 'Great work', 'Great vid we need to address this we have made slight progress but we can not stop to help you can simply just plant a tree and that can take so much co2']"
21,HYm66KL16_M,['I did not. Thank you so much for educating me']
22,UnaHVI7kHpM,"['ğŸ˜Œ P R O M O S M.', 'So calming and informative at the same time<3']"
23,d3GJaW3i2OU,['Clear and direct. I like it a lot. Congratulations. I am a father who wants to teach his son the importance of taking care of our planet and videos like this are useful and educational.']
24,_y0WiHWRj6I,"['Systems tilt to produce what is being measured, No? Perhaps this is why climate science predictions are so poor!', ""I'll definitely told my principal about that!!!"", 'Awesome! I will share this to our school principal ASAP!']"
25,fXRSaFgsZrE,['Nice']
26,0PzKsmk6O0E,[]
27,xJh3Ce5dF4k,"['Nice metaphor to explain the concept of tipping points to children', ""Nope Global warming is a scam by the UN , and NATO.  JUST A HOAX .. THEY'VE BEEN PUSHING YO DESTABILIZE NATIONS BY ALL THIS WEIRD REGULATIONS !! MONEY FINDS , AND CONTROL OVER ALL NATIONS IF THEY KEEP LYING TO PEOPLE AND SCARING THEM !! PEOPLE ARE SO EASILY LED ,!!"", 'This is called gravity...(\u2060-\u2060_\u2060-\u2060ãƒ¡\u2060)', 'I mean yeah this did happen but in a more drastic way it was the magnetic pole swapping and this incorrect space is full of radiation more gas would just help form more earth like planets', 'Great video! Reminds me of the excellent work on planetary boundaries by Rockstrom et al! Keep it coming ğŸ˜Œ']"
28,-rnM1g5zE_U,"[""Thank you Climate Science! I'll definitely share this video with my family and friends.""]"
29,o49bi2_jaJI,[]
30,OJDmBs9a9YY,"['You are so cute yr and and cute really really cute and ........ â¤', 'You have cleared the concept in a simple way \nThanks', 'Excellent video on the difference between mitigation and adaptation! As a fellow climate YouTuber and environmental educator, Iâ€™m open to collaboration if interested.']"
31,Tjou-g8yYS8,['Hello ! I am an indian and you ? ğŸ˜Š']
32,H1R4MJ-sLLs,"[""Hello ma'am I'm from India"", ""What's that glitters ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚"", ""Bruna should definetly become Earthly's voice actress :0""]"
33,Yt1xTGoQYHo,"['Great video....', ""Sun is the infinite energy source for human's level. But it is not infinite at the level of sun. You know sun's thug life..ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚.... ğŸŒğŸŒğŸŒğŸŒğŸŒ"", 'All those solution make sense except more use age of â€œrenewableâ€ energy, the fact remains that despite its ironic name, it uses more energy to make the energy creators than they can ever make, fossil fuels and oil are actually safer to use then renewable energy, because renewable energy machines donâ€™t last forever.  We have to find something that works better, because oil fossil fuels and fracking still are hurtful to the environment, but for now theyâ€™re actually our safest bet, although, hydro energy is one of the best energies we can ever have, because the itâ€™s not always windy, and itâ€™s not always sunny, however, the ocean always has tides.  None of those mentions Nuclear energy for the reason that while it is our best bet for real renewable energy, it is still a bit dangerous, think about Chernobyl.  Despite all the reason to not use it, nuclear energy provides over a fourth of our total energy, and they have one plant in maybe 10-16 states last I checked.  They canâ€™t have very many in a state because if one reactor suffers a meltdown, others in the area could go off making it worse.  The only thing besides radiation that reactors create, is steam from the water they use to cool it.  They also might create a bit of waste, but Iâ€™m not entirely sure about that.  Do some research and find some better ways yourself so that you can understand.', 'Great video âœŒâœŒ']"
34,ishA6kry8nc,"['It is bad to waste foodğŸ˜­ğŸ˜­', 'Keren', 'Why? Do I care I donâ€™t', 'THIS IS TRASH XAXAXAXAAHAHAHHAH                        HAHAHAHAHA TRAsH', 'SALUTIAMO LA CIMBOLINI CHE CI SEGUE SEMPRE', 'Amongus', 'jelaskan bagaimana kehilangan dan pemborosan pangan terjadi pada berbagai tahap rantai pasokan pangan. menyoroti penyebab dan konsekuensi dari limbah makanan di negara-negara kaya dan berpendapatan rendah.\n\nï¿¼', 'i hit the notification bell ğŸ””', 'OSC?', 'Food Scarcity Worldâ€™s Upcoming Challenge | #Watercrisis\nhttps://youtu.be/O_FbIO0PDbY']"
35,25aNiGPZBcg,"['Thanks for this knowledge.', ""â¤ I'm introducing myself  doing a agric  how can I get tru for investment please"", ""Yep.  We must consider everyone's point of view.  Call up Donald Trump and get his opinion on this right?  I mean... WE MUST CONSIDER EVERYONE'S POINT OF VIEW."", ""This is great!  One of the funniest videos I've seen yet this year! LOL"", 'do u guys have a article of this??', ""Part of the solution that most people don't consider! It's really great to see a video like this that explains it so well. - Planet Cents Team"", 'You stretched those facts like gum on a hot summer day to reach your insane conclusion. Congratulations. You are completely nuts.\nWomen are not some magical creatures. They are human beings. Like man are human beings. Like the  ones responsible for climate change are human beings. Not men or women - humans are responsible!', ""The UN is extremely corrupt and abortion is murder. At least they are promoting independence for women though. I've always wanted to be a farmer but the land is far too expensive to buy. There should be limits on how much money can be charged per hectare of land."", 'Education means massive more consumption per person unfortunately.', 'â¤ï¸ğŸ™ƒ']"
36,7fhG8rjnTsg,"['What if I know nothing?', ""I'd really love to join the team"", 'Great to see the faces behind all the fantastic work you guys do. Keep it up!!!', 'Very proud to be part of this team ğŸ¥°', 'I love ur videos...Keep it up!!!']"
37,L4EES-3_NlY,"[""Really love seeing such videos and understand what l can do to protect our envinronment ^^ this channel is really helpful for me. Thank you so much from VietNam ^^ l'm always looking fowards to watching new videoss ^^"", ""I like these type of knowledge videos and animations make these types of videos even more interesting!\nThank you for providing information about our and this Earth's own climate around..."", 'Great job. Keep making these videos', 'This is just WOW seriously!! Totally amazing!!', 'Very interesting video as always. Thank you Climate Science. Love the way you explain things making them so much easier to understand. Great job!!', 'Incredible ! âœ¨', ""Great video! Just a question about carbon negative concrete: Since most emissions from concrete come from cement and we're eliminating those by using steel slag, I'm not sure I understand where the co2 that's being pumped into the molds is coming from. Are we sequestrating co2 emissions related to concrete manufacture, is it absorbing co2 from the air or is it something else ?"", 'I LOOOVED THIS VIDEO !', 'Good and fantastic', 'Exelent!']"
38,IxelxcUdIKk,"['After all , It is so hard to establish this concept in developing countries. It will harm the job sector of some agricultural countries and they are also so expensive for them. You have to think also about others not only you.', 'Do it!', 'Amazing video guys!!!', ""I'm not sure how much of a solution this really is, seeing as lab grown meat and plant-based alternatives are both energy intensive. It seems like it goes hand in hand with getting off of fossil fuels. Cause in the end if we cant do that then the net emmissions from plant-based neats will result in possibly an increase in emissions"", ""wowow! Thank you for this! I would also like to make the transition away from animal-based products but have found it quite difficult:/ can't wait for lab meat! You mentioned that the price has dropped significantly but I was wondering what the average price for lab meat is these days?"", ""This is a great video on a very interesting topic. As mentioned in some of the comments, and in the video itself, it's not the perfect solution. But again, any effort helps. In my own case, I love meat!!! But I'm also very concerned about the planet. I can't wait for a clean meat restaurant or shop to open near me! Congrats ClimateScience!!"", 'This is so good!', 'I really love the animation and the effort that goes into making the videos!\nMy only critic is that you could add your sources during the video. So for example a small 1 in the lower left corner and cite the research paper in the video description. Not everyone has a google account but it seems like youâ€™d need one to check your sources at the moment.\nHowever, thatâ€™s just an idea and nevertheless you guys do a great job.', 'Thank you!', 'Lab grown meat will have a future but what it will look like among the vast food options... well only time can tell.  Someone needs to look into the emissions model estimates as it is not all that clear cut. Many small holder farmers still have small amounts of livestock that are fed with farm produce that cannot be sold or are farm wastes. Rise in the demand for plant based products actually contributed to more farm produce that cannot be sold - consumers usually only pick the nice shiny ones and those that do not make the quality cut are processed or fed to livestock. As for farm wastes, rice bran for example is mixed with feed and rather than letting it decompose, it is used for another purpose to feed animals. This metric on 77% of land used to create 18% of calories also needs to be reviewed since a lot of feed inputs are again wastes being used for another purpose. The opportunity cost way of looking at this problem does not include waste management being used for some other purpose (as input to another process). There are many other examples of farm wastes being used as inputs for animal feed. Then there is the issue of livestock being used in the farm not just to produce meat but as part of the ecosystem - keeping grass cut as to not make an environment for snakes to thrive or ducks eating snails to control snail rice pests. In this case livestock is actually a contributor to make soil richer and make the farm more biodiverse. As for biotechnology on growing meat, how will that play in developing countries? Foster more import culture? Well... there goes accumulation of wealth. This is one of those things that are in the not so simple in life category.']"
39,F4axVYbTXvA,"['Local Communities in Marsabit County is fully booked and ready for tree planting Day', 'Together As 1 in planting Millions of trees every year Country Wide starting tomorrow the 13th November 2023, Initiatives towards addressing climate change in Kenya', 'Planting an abundance of tall, deep rooted grass can sequester more carbon and do it faster than trees.\nStopping deforestation is perhaps more important than planting trees.\nIn USA stopped subsidizing fossil fuels maybe less tree planting would be required.', 'https://www.youtube.com/watch?v=9HiADisBfQ0', 'Plant the tree is a natural way  to absorb CO2 in atmosphere. It is also the best solutionl to mitigate climate change.', 'Trees harm the environment ?? ... WTF ??... That is so stupid... scientist just whinning and talk too much... NOT ACTION !!! ... I knew all about the carbon release... IF human burns the forest CO2 is release into the air !!! ... how much percentages of carbon release IF the trees decay under the soil ??? almost NONE !!! ... because CO2 is heavier than air .. CO2 Density is 1.87kg/m3 .. which is 1.5 times heavier than air.... they goes down to the soil so quickly... CO2 became lighter IF ... IF mixed with heat and pressure !!! \n\nTALK TOO MUCH like NATO ... Not Action Talk Only !!! ... PLANT THOSE TREESSS NOW !!!', 'It will only get worse because of evil townships. They cut down many more trees every year. We could at least stop them ja? At least not make it worse.', 'Thanks   iam  using  my  mums laptop  i like  agriculteru', 'a forest planting guide made for you by the electric car industry', 'We can plant them on top of buildings/skyscrapers too? That and other bushes/ greenary? Plant more cactuses in desert areas, (such as all over Texas etc...)']"
40,WWX5oOrUd9A,"['A general question: how is global CO2 level determined (methods, number and location of sites,..). Would be nice to read a paper about that. Thanks!', 'Can You Tell Me The Time and Date Of the Quiz', 'Can I have information in Hindi, please, what is this?', 'Wow, Nice itğŸ', 'Can you make more qualifiers in saturday or sunday?', 'The proposal will be made by the participant as an redation?', 'Great! Infographics will always be my number one pic for effective advocacy especially targeted at children and youths.', 'Awesome!', 'Love that the dialogue!', 'Where will the FINALS be held?']"
41,XEcgieSBvjw,"[""This is all BS .... all this tax does is make poor people more poor.  You fix the problem by funding R&D to make what we have more efficient for 1 and for 2 fund future technologies.  Do it in such a way that involves the community starting from Kindergarten on up to universities and industry.   Come on, think about it .... some government takes money from you,  there's nothing to point at like some new technology that the tax dollars directly funded, that's a real product, that does a real measurable thing, that we can see.  Its  a con job !   There will be a band of fat cats at the top getting rich who do not much of anything, with a huge beaurocracy that costs huge amounts, with no new products, no new technology, nothing.  Thats how governments work, when are people going to wake up.  Another thing governments do is start wars, guarantee they will fund the military industrial complex .... they need electric tanks of course, just so they are carbon neutral while killing people.  The problem is representative democracy allows for tryants to rise.  The solution is to find a better way to govern ourselves  !"", 'Hasnt stopped ""warming"" in UK. Its only making poor people more poor.', ""Carbon tax works in theory Look to Canada and see its failure! Rising cost on goods and services when they're at an all time high there fore adding cost to food and services because transport relies on the fuel the Government taxed! ITS A FAILED SYSTEM THAT BENNIFITS NO ONE!"", 'Carbon taxes=bad idea', 'All Trudeau scams so shove it where the sun donâ€™t shine', ""If all of Canada dropped into it's respective Oceans the world's carbon footprint would be unchanged.\n\nAt best you would MAYBE see a 1% reduction. If we really think about things, how ethical an advanced our Mining and Energy Sectors are - if we scrapped those the replacements would be fair worse, less ethical - throw gay people off roof tops type Counties.\n\nYou're way out to lunch."", 'Yes, lets talk about BC.  The carbon tax has not reduced emissions AT ALL.  In fact emissions have increased.  The trick they use is it was reduced from ""what it would have been"" ie from a computer projection based on past consumption (a guess) that did not take into account other factors that also reduce consumption.  Yes, lower income households do get some more money back, but the fact of the matter is the ""rich"" actually pay less anyway as they leave during winter to warm jurisdictions and avoid the carbon tax anyway (we tend to refer to these people as snow birds).  So who really pays....  The working middle class.  What has the carbon tax really done?  It is a SIGNIFICANT contributor to inflation and the high cost of living particularly in BC. As part of that those who can now burn wood and/or garbage for fuel sources.  These are ""unofficial"" CO2 sources so the ""official"" consumption has gone down, but at best the actual CO2 production is the same or more considering burning wood or garbage for fuel is very inefficient.  It has also significantly contributed to cross boarder shopping mostly into Norther Washington USA where the fuel and products are much more affordable even with our low dollar taken into account.  Other problems are healthy foods like fresh vegetables have gone up significantly in price because of the transport costs.   Forcing families to either forgo or eat (ironically) more processed less healthy foods.  And the high cost of living (among several other factors) has also lead to the extremely high homeless and drug problem in Vancouver in particular.  The economy grew in BC due to demand in LNG and other natural resources (BC has a large forestry industry), and tech centers in Vancouver.  It has not grown as much as it could have mostly due to high taxes, and Provincial and Federal political policies that have limited the economy.  It is above the Canadian average, but it always has been.  I note you did not mention Quebec who also has a carbon tax, but due to it\'s welfare state policies and the rest of Canada\'s monetary support it does not have the higher cost of living, but it also has a stagnant economy.  Bottom line....  Carbon tax is fiscal policy not environmental policy and you are delusional if you think it does anything to ""stop climate change"".  All it does is hurt the poor and middle class and make living MUCH more expensive.', 'Fuel for cars and heating is high enough. A further tax would raise prices even further. So many already cannot afford basic travel or warmth.\nAnd the vast majority of food products rely of fossil fuels for their production, so food prices would also go up, at time when so many are struggling to even survive.\nCarbon taxes and personal carbon wallets being talked about are a terrible idea.', 'Total hoax!  Geoengineering and destroying fertilizer manufacturers is not the answer. Wake up people!', ""maybe someone could help or explain..\n\nMe and my wife with 2 children live in a rented house, it's badly isolated, we spent lots of money to the heating bill and electricity the each year specially the last 2-3 years.\nin the past we tried to get a loan to buy a house but because both of us have some health problems and a badly paid job the mortgage would be way more than we have pay now.\nwe would love to live more carbon emission free, but, we have almost no money left each month to eat , we can't afford to move to a cheaper better isolated rental house.\nisolating this house or even having solar panels is financial unpossible, and in our city there is only one company that rent out all houses here.\nthan we don't know how long this block of houses will stay, before getting demolished..  could be 9 years but also 3 years.. they are still making lots of money with those houses.\nIn the winter we put our heating to 62 degrees max and walk around in thicker clothes, but still lots of heat disappears.\nand now everything gets more expensive, and next year we get CO2 taxes.\n\nhow can we ever save some money to ever get a better isolated house, or solar panels to get carbon neutral.. \nhow are people surviving or doing this..\ni'm starting to get more and more anti climate feelings while i know i could do more if we had the chance..""]"
42,Bxd8y03zETI,"['ğŸ˜‚Bullshit', 'Warming is science. The climate ""crisis"" is political.', 'Why then was CO2 6 times higher than now during the last four ice ages, when NY was under ice?', 'This is just disinformation propaganda! Physics proves that Greenhouse Gasses are a fantasy and a lie used to swindle the general public and have been doing just that, for over 160 years.\nIt is time to learn the real science, not the Climate Science swindle and fraud.', 'noone knows where the emissions are coming from. they dont know if they are coming from natural emitters or coal . temperature used to be higher also during medieval ages . ppm increasement is tiny . oceans and volcanos emmit co2 also . nobody measured them to see if this is the cause . also in the poles they saw something else except what you are refering to. they saw star dust , star dust pays a huge role to solar activity and guess what ... the sun is the source of heat and thats why temperature is changing . there is not a single scientific proof that co2 emissions are in fact the cause of climate change .', ""If anyone did their homework, and the producers of this video obviously didn't,  they'd quickly discover that the info in this video is BS"", ""Im very skeptical. Don't get me wrong, I would love a greener planet. A less industrial and more agricultural society sounds like heaven to me. Ultimately, i think it's just the natural cycle of a planet to go through changes. It's out of our control. We have had ice ages and many other disastrous events like this before. So im not denying that the climate is changing and its getting dangerous, i just doubt that humans are responsible"", 'Science we can believe, Scientist no.', ""I don't see anything close to conclusive in this random collection of data. The climate has been on an upward trend since the ice age."", 'Water is a 20 times more green house with CO2.  The sun, earth orbit, and earth tilt are the cause climate change.    The computer models do not know how to include water or clouds in the computer model.  Computer model do not match real data,  The ice caps on Greenland and South Pole have been growing in the last 7 years.  All the climate prediction since 1970 have been wrong.']"
43,myZAvqqp9Jc,"[""Man's CO2 contributions to our atmosphere are less than a fart in a hurricane."", 'I AM FROM LANDAN AMERICA', 'Climate has never been stable, what you are seeing is the effects of overpopulation of the Humans', 'This is pseudo science  when you use real science to push a agenda. CO2 is not the thermostat of climate.  The planet has warmed FASTER in the past according to ice core data.  If you are a student use your critical thinking skills which means shutting off the constant propaganda and doing independent research.', 'https://www.youtube.com/watch?v=FT3LafOICHM&ab_channel=NASACosmosConnection', 'Climate change is fake. Stop spraying stuff in the air.', 'This video is full of unproven assumptions. It is propaganda.\nAt least it explains why there is no ice on either pole today.\nWe are still waiting for any physical evidence, NOT SPECULATION, that carbon emissions cause any change to our climate.', 'This is what keeps us safe from almost any threat you can come up with: Economic growth, wealth creation and inexpensive reliable energy.', 'Typical disinformation propaganda! Like all these disinformation site they neglect to show the greenhouse gasses being heated by the Sun before the ground ever sees any solar radiation. Of course if they show that, then they are showing that the terrestrial radiation  just passes the greenhouse gasses by because they are already saturated with solar heat, so it is almost the opposite of the greenhouse effect but in any event, there is definitely no greenhouse effect and this is pure disinformation propaganda!', 'I Believe In Mother Nature We need to Save Nature .']"
44,9oxA9ubuCII,"['Amazing video well explained about the uses of different forms of fuels and their effects ğŸ‘. ğŸ‡®ğŸ‡³', 'Beautiful video. Well done, climate science', 'Awesome video!', 'Amazing! Proud to be with you people!', 'Amazing video! The animation is cute and the explanations are understandable. Looking forward to more of this!', 'Great video! The animations are so cute <3', 'Very informative, thanks for the vid!', 'Great video! ğŸ’š', 'very nicely done Woohooo !!!', 'very nicely done Woohooo !!!']"
